Product Phase,Product State,Brand,From,Character,Type,Height Range,Scale,Feature,Est Released Time,Type,Price
pre-order,orderable,Black and white Studio,Tokyo Ghoul,Yoshimura Kuzen,GK Statue,36-50cm,1/6,Other, ,GK Statue,"32,321.38"
pre-order,orderable,Gemhoo Made Studio,Original,Capricornus,GK White Model,36-50cm,1/6,Other,09/2025 ,GK White Model,"25,560.75"
pre-order,orderable,league studio,Digimon,War Greymon,GK Statue,unknown,wcf-like & sd-like,Other,12/2024 ,GK Statue,"6,945.86"
early bird,orderable,Du Studio,Dragon Ball,Son Goku / Kakarotto,GK Statue,unknown,other scale,Other, ,GK Statue,"92,518.80"
pre-order,orderable,HunDian Studio,Elden Ring,Needle Knight Leda,GK Statue,51-69cm,1/4,Serious / Soul-like,12/2024 ,GK Statue,"43,805.20"
pre-order,orderable,UTS Studio,One Piece,Roronoa Zoro,GK Statue,36-50cm,1/7-1/9(popmax-like),Other,06/2025 ,GK Statue,"17,781.39"
pre-order,orderable,S6 Studio,Monster Hunter,Alatreon,GK Statue,26-35cm,other scale,Other,12/2024 ,GK Statue,"10,928.15"
pre-order,orderable,Angle Wings Studio,Genshin Impact,Sangonomiya Kokomi,GK Statue,26-35cm,1/6,18+ Female,12/2024 ,GK Statue,"32,043.55"
pre-order,orderable,ModelWay Studio,Original,Ouko,GK Statue,26-35cm,1/6,18+ Female, ,GK Statue,"4,908.40"
released,contact for current prices,Prime 1 Studio,Suicide Squad,Peacemaker,Licensed Statue,70-90cm,1/3,Other, ,Licensed Statue,"129,563.36"
released,contact for current prices,Prime 1 Studio,Suicide Squad,Harley Quinn,Licensed Statue,70-90cm,1/3,Other, ,Licensed Statue,"129,563.36"
pre-order,orderable,BubbleX Studio,Spy x Family,Anya Forger,GK Statue,16-25cm,other scale,Skin change / Cosplay, ,GK Statue,"15,743.94"
released,contact for current prices,Prime 1 Studio,Teenage Mutant Ninja Turtles Series,Michelangelo,Licensed Statue,unknown,none scale,Other, ,Licensed Statue,"122,617.51"
pre-order close,contact for current prices,DXS Studio,Pokémon,Professor Birch,GK Statue,unknown,1/20,Other, ,GK Statue,"8,798.08"
pre-order,orderable,yz studio,One Piece,Gambo,GK Statue,under 10cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,278.85"
released,contact for current prices,Prime 1 Studio,Teenage Mutant Ninja Turtles Series,Michelangelo,Licensed Statue,36-50cm,none scale,Other, ,Licensed Statue,"52,695.89"
released,contact for current prices,Prime 1 Studio,Teenage Mutant Ninja Turtles Series,Donatello,Licensed Statue,36-50cm,none scale,Other, ,Licensed Statue,"52,695.89"
pre-order,orderable,Candy House Studio,Final Fantasy,Tifa Lockhart,GK Statue,26-35cm,1/3,Bust,09/2025 ,GK Statue,"25,190.30"
released,orderable,Dorobou Neko Studio,One Piece,Nico Robin,GK Statue,36-50cm,other scale,18+ Female, ,GK Statue,"6,204.96"
pre-order,orderable,Momocat Studio,Mato Seihei no Slave,Ren Yamashiro,GK Statue,unknown,1/6,18+ Female, ,GK Statue,"14,354.77"
pre-order,orderable,Fei Qv She Studio,Original,Rainforest Prohibition,GK Statue,unknown,other scale,18+ Male, ,GK Statue,"33,247.50"
pre-order,orderable,Prime 1 Studio,So I'm a Spider So What?,Ariel,Licensed Figure,16-25cm,1/7-1/9(pop-like),Other,07/2025 ,Licensed Figure,"24,912.47"
pre-order,orderable,black studio,One Piece,Big Mom Pirate (Charlotte Pirates),GK Statue,26-35cm,other scale,Other,12/2024 ,GK Statue,"13,243.43"
released,contact for current prices,Prime 1 Studio,Teenage Mutant Ninja Turtles Series,Leonardo,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"52,695.89"
pre-order,orderable,pg studio,Hunter x Hunter,Killua Zoldyck,GK Statue,16-25cm,1/6,Other, ,GK Statue,"14,447.38"
released,contact for current prices,Prime 1 Studio,Teenage Mutant Ninja Turtles Series,Raphael,Licensed Statue,36-50cm,none scale,Other, ,Licensed Statue,"52,695.89"
pre-order,orderable,huan zhou studio,Pokémon,Dragonite,GK Statue,26-35cm,other scale,Other, ,GK Statue,"21,948.90"
pre-order,orderable,CROWN Studio,Honkai: Star Rail,jingliu,GK Statue,51-69cm,other scale,18+ Female,12/2024 ,GK Statue,"61,030.92"
released,contact for current prices,Prime 1 Studio,Teenage Mutant Ninja Turtles Series,Splinter,Licensed Statue,36-50cm,none scale,Other, ,Licensed Statue,"43,434.75"
pre-order,orderable,ll Studio,Dragon Ball,Master Roshi,GK Statue,under 10cm,other scale,Other,12/2024 ,GK Statue,"11,576.43"
released,contact for current prices,egg studio,Pokémon,Charmander,GK Statue,36-50cm,Life-Size,Other, ,GK Statue,"34,081.00"
released,contact for current prices,Prime 1 Studio,Teenage Mutant Ninja Turtles Series,Michelangelo,Licensed Statue,36-50cm,none scale,Other, ,Licensed Statue,"64,735.38"
pre-order,orderable,scarecrow Studio,Howl's Moving Castle,Turnip Head (Prince Justin),GK Statue,26-35cm,1/12,Other, ,GK Statue,"17,318.33"
released,contact for current prices,Prime 1 Studio,Teenage Mutant Ninja Turtles Series,Donatello,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"69,365.95"
released,contact for current prices,Prime 1 Studio,Teenage Mutant Ninja Turtles Series,Leonardo,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"64,735.38"
released,contact for current prices,Prime 1 Studio,Teenage Mutant Ninja Turtles Series,Raphael,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"64,735.38"
released,contact for current prices,Prime 1 Studio,Transformers,Sideswipe,Licensed Statue,51-69cm,none scale,Other,02/2024 ,Licensed Statue,"129,563.36"
pre-order,orderable,GXL Studio,,,GK Statue,unknown,other scale,Other, ,GK Statue,"32,136.16"
pre-order,orderable,,Hunter x Hunter,Killua Zoldyck,GK Statue,26-35cm,1/6,Other, ,GK Statue,"20,189.29"
pre-order,orderable,Snow Studio,Blue Archive,Tendou Arisu,GK Statue,unknown,1/7-1/9(pop-like),18+ Female, ,GK Statue,"23,615.91"
pre-order,orderable,clone studio,One Piece,Vinsmoke Sanji,GK Statue,16-25cm,other scale,Other, ,GK Statue,"12,687.76"
pre-order,orderable,sky top studio,Haikyu!!,Shoyo Hinata,GK Statue,36-50cm,other scale,Other,12/2024 ,GK Statue,"17,966.61"
pre-order close,contact for current prices,Prime 1 Studio,Transformers,Megatron,Licensed Statue,70-90cm,none scale,Other,12/2024 ,Licensed Statue,"296,263.90"
released,contact for current prices,zodiakos studio,Saint Seiya,Gold Cloth,Licensed Statue,16-25cm,1/6,Other,12/2024 ,Licensed Statue,"22,226.74"
pre-order,orderable,Junhao Studio,Original,Cecilia,GK Statue,51-69cm,1/4,Other, ,GK Statue,"43,342.14"
pre-order,orderable,zodiakos studio,Saint Seiya,Gold Cloth,Licensed Statue,16-25cm,1/6,Other,12/2024 ,Licensed Statue,"22,226.74"
released,contact for current prices,Prime 1 Studio,Transformers,Optimus Prime,Licensed Statue,over 90cm,none scale,Other, ,Licensed Statue,"347,292.79"
pre-order,orderable,Konoha Studio,Naruto,Deidara,GK Statue,36-50cm,1/6,Other, ,GK Statue,"25,745.97"
early bird,orderable,Fairy Studio,Pokémon,Charizard,GK Statue,unknown,other scale,Other, ,GK Statue,"27,690.81"
pre-order,orderable,yz studio,One Piece,Ushiano,GK Statue,10-15cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,464.07"
abandon production,out of stock,YuXing Studio,One Piece,Boa Hancock,GK Statue,26-35cm,1/7-1/9(pop-like),Other,12/2024 ,GK Statue,"14,725.21"
released,contact for current prices,Prime 1 Studio,Transformers,Grimlock,Licensed Statue,36-50cm,none scale,Other, ,Licensed Statue,"101,779.94"
released,contact for current prices,Prime 1 Studio,Transformers,Scorponok,Licensed Statue,26-35cm,none scale,Other, ,Licensed Statue,"83,257.66"
pre-order,orderable,jb studio,Pokémon,Mightyena,GK Statue,unknown,1/20,Other, ,GK Statue,"7,131.08"
released,orderable,Dorobou Neko Studio,Naruto,Kaguya,3D Decorative Paint,36-50cm,other scale,18+ Female, ,3D Decorative Paint,"6,204.96"
pre-order,orderable,FXW Studio,Pokémon,Charmander,GK Statue,16-25cm,other scale,Other, ,GK Statue,"19,448.40"
pre-order,orderable,iu studio,One Piece,Nico Robin,GK Statue,26-35cm,other scale,18+ Female,06/2025 ,GK Statue,"26,301.64"
pre-order,orderable,opm studio,Spirited Away,Yubaba,GK Statue,16-25cm,other scale,Other,06/2025 ,GK Statue,"31,302.66"
pre-order,orderable,Prime 1 Studio,Batman Series,The Batman,Licensed Statue,over 90cm,1/3,Other, ,Licensed Statue,"138,824.50"
pre-order,orderable,league studio,Celebrity Figure,Akira Toriyama,GK Statue,unknown,wcf-like & sd-like,Other,12/2024 ,GK Statue,"6,204.96"
released,contact for current prices,Prime 1 Studio,Transformers,Blackout,Licensed Statue,70-90cm,none scale,Other, ,Licensed Statue,"240,697.05"
pre-order,orderable,QiYuan Studio,Naruto,Uzumaki Naruto,GK Statue,unknown,other scale,Other,12/2024 ,GK Statue,"12,687.76"
pre-order close,contact for current prices,ioe Studio,Tokyo Ghoul,Yoshimura Eto,GK Statue,26-35cm,1/6,Other,12/2024 ,GK Statue,"36,766.73"
pre-order,orderable,peach studio,Zenless Zone Zero,Ellen Joe,GK Statue,10-15cm,other scale,Other, ,GK Statue,"6,575.41"
released,contact for current prices,Prime 1 Studio,Transformers,Megatron,Licensed Statue,70-90cm,none scale,Other, ,Licensed Statue,"231,435.91"
pre-order,orderable,Big Cute Studio,Honkai: Star Rail,Firefly,GK Statue,unknown,other scale,Other, ,GK Statue,"8,612.86"
pre-order close,contact for current prices,True1Toys Studio,Original,Ala,Action Figure,unknown,1/6,Other,06/2025 ,Action Figure,"17,318.33"
pre-order close,contact for current prices,Threezero Studio,Original,Sole Survivor Male,Action Figure,unknown,1/6,Other,06/2025 ,Action Figure,"21,208.01"
pre-order close,contact for current prices,POPTOYS Studio,Original,Russian Police Force,Action Figure,unknown,1/6,Other,12/2024 ,Action Figure,"16,299.61"
pre-order close,contact for current prices,NOVA Studio,Slam Dunk,Hisashi Mitsui,Action Figure,unknown,1/6,Other,06/2025 ,Action Figure,"27,412.98"
pre-order close,contact for current prices,JKTOYS Studio,Original,Sweetheart Nurse,Action Figure,unknown,1/6,Other,12/2024 ,Action Figure,"7,316.30"
pre-order,orderable,HAOYUTOYS Studio,Original,Imperial Legion,Action Figure,unknown,1/6,Other,12/2024 ,Action Figure,"23,060.24"
pre-order,orderable,Old Time Studio,One Piece,Roronoa Zoro,GK Statue,36-50cm,1/6,Other, ,GK Statue,"40,008.13"
released,contact for current prices,Prime 1 Studio,Transformers,Optimus Prime,Licensed Statue,70-90cm,none scale,Other, ,Licensed Statue,"291,355.50"
pre-order close,contact for current prices,Asmus Toys Studio,Devil May Cry,Dante,Action Figure,unknown,1/6,Other,12/2024 ,Action Figure,"24,264.19"
released,contact for current prices,Prime 1 Studio,Transformers,Ravage,Licensed Statue,70-90cm,none scale,Other, ,Licensed Statue,"180,499.64"
released,contact for current prices,Light Year Studio,Naruto,Minato Namikaze,Licensed Statue,36-50cm,other scale,Other,06/2023 ,Licensed Statue,"62,605.31"
released,contact for current prices,Prime 1 Studio,Transformers,Nemesis Prime,Licensed Statue,70-90cm,none scale,Other, ,Licensed Statue,"101,779.94"
pre-order,orderable,LK Studio,One Piece,Nami,GK Statue,16-25cm,1/7-1/9(pop-like),18+ Female, ,GK Statue,"14,910.44"
early bird,orderable,Tct Studio,One Piece,Nami,GK Statue,unknown,other scale,Other, ,GK Statue,"27,690.81"
released,contact for current prices,Prime 1 Studio,Transformers,Optimus Prime,Licensed Statue,70-90cm,none scale,Other, ,Licensed Statue,"211,154.01"
pre-order,orderable,FD Studio,Pokémon,Larvitar,GK Statue,51-69cm,Life-Size,Other, ,GK Statue,"17,688.78"
pre-order close,contact for current prices,Warhead Studio,Attack On Titan,Agito no Kyojin,GK Statue,10-15cm,other scale,Other,12/2024 ,GK Statue,"6,204.96"
released,contact for current prices,champion studio,One Piece,Monkey D. Luffy,GK Statue,36-50cm,other scale,Other,03/2023 ,GK Statue,"58,345.19"
pre-order,orderable,Fairy Studio,Pokémon,Charizard,GK Statue,26-35cm,other scale,Other,09/2025 ,GK Statue,"25,560.75"
pre-order,orderable,Poker Studio,My Neighbor Totoro,Totoro,GK Statue,10-15cm,other scale,Other, ,GK Statue,"6,760.63"
pre-order,orderable,a+ studio,One Piece,Red Hair Pirates,GK Statue,10-15cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,278.85"
released,contact for current prices,Prime 1 Studio,Transformers,Blitzwing,Licensed Statue,70-90cm,none scale,Other, ,Licensed Statue,"138,824.50"
pre-order close,contact for current prices,Shen Niu Studio,Jujutsu Kaisen,Kento Nanami,GK Statue,10-15cm,other scale,18+ Male,12/2024 ,GK Statue,"27,412.98"
released,contact for current prices,Prime 1 Studio,Transformers,Bumblebee,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"129,378.14"
pre-order,orderable,Sugar Honey Studio,Sailor Moon,Sailor Moon / Tsukino Usagi,GK Statue,26-35cm,1/6,18+ Female,06/2025 ,GK Statue,"17,503.56"
pre-order,orderable,dragon studio,One Piece,Nami,GK Statue,unknown,other scale,18+ Female,06/2025 ,GK Statue,"18,059.22"
released,contact for current prices,Prime 1 Studio,Transformers,Sentinel Prime,Licensed Statue,70-90cm,none scale,Other, ,Licensed Statue,"238,381.77"
pre-order close,contact for current prices,DaiDai Studio,Pokémon,Greninja,GK Statue,unknown,1/20,Other, ,GK Statue,"17,688.78"
pre-order,orderable,CR Studio,Genshin Impact,Nahida,GK Statue,10-15cm,other scale,Other, ,GK Statue,"8,798.08"
pre-order,orderable,mds Studio,,,GK Statue,10-15cm,other scale,Other, ,GK Statue,"5,278.85"
pre-order,orderable,Forest Rabbit Studio,Sailor Moon,Sailor Mercury / Mizuno Ami,GK Statue,10-15cm,other scale,Other,12/2024 ,GK Statue,"7,316.30"
pre-order,orderable,Max factory Studio,Berserk,Skull Knight,Licensed Figure,16-25cm,other scale,Other, ,Licensed Figure,"12,872.99"
released,contact for current prices,Prime 1 Studio,Transformers,Autobot Drift,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"116,597.77"
pre-order,orderable,E2 Studio,One Piece,Tony Tony Chopper,GK Statue,10-15cm,1/4,Other, ,GK Statue,"25,468.14"
released,contact for current prices,Prime 1 Studio,Transformers,Optimus Prime,Licensed Statue,over 90cm,none scale,Other, ,Licensed Statue,"326,918.28"
pre-order,orderable,c studio,Bleach,Sōya Azashiro,GK Statue,under 10cm,wcf-like & sd-like,Other,06/2025 ,GK Statue,"5,278.85"
released,contact for current prices,Prime 1 Studio,Transformers,Bumblebee,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"183,926.26"
pre-order,orderable,FXW Studio,Pokémon,Ekans,GK Statue,10-15cm,other scale,Other, ,GK Statue,"10,835.53"
pre-order,orderable,Wink Studio,One Piece,Nami,GK Statue,unknown,other scale,Other, ,GK Statue,"14,725.21"
pre-order close,contact for current prices,Sha Hu Le Yuan Studio,Pokémon,Tyranitar,GK Statue,unknown,other scale,Other, ,GK Statue,"10,372.48"
early bird,orderable,SQ Studio,One Piece,Vinsmoke Sanji,GK Statue,16-25cm,1/7-1/9(pop-like),Other, ,GK Statue,"92,518.80"
early bird,orderable,Yoke Studio,Naruto,Jiraiya,GK Statue,unknown,other scale,Other, ,GK Statue,"27,690.81"
pre-order,orderable,JOMATAL Studio,Perfect World,Huo Ling Er,Licensed Statue,51-69cm,1/3,Other,09/2025 ,Licensed Statue,"81,312.82"
pre-order,orderable,YINQING Studio,Dragon Ball,Son Gohan,GK Statue,51-69cm,1/6,Other,06/2025 ,GK Statue,"51,399.33"
pre-order,orderable,Crazy Rabbit Studio,Arknights,Suzuran,GK Statue,16-25cm,other scale,18+ Female,06/2025 ,GK Statue,"35,007.11"
pre-order,orderable,yyds studio,Detective Conan,Conan Edogawa / Shinichi Kudo,GK Statue,26-35cm,1/6,Other, ,GK Statue,"14,632.60"
pre-order close,out of stock,ZR Studio,Pokémon,Arcanine,GK Statue,unknown,1/20,Other, ,GK Statue,"9,168.53"
pre-order,orderable,Flying Mouse Studio,Pokémon,Geodude,GK Statue,unknown,1/20,Other, ,GK Statue,"10,002.03"
released,contact for current prices,Prime 1 Studio,Transformers,Megatron,Licensed Statue,70-90cm,none scale,Other, ,Licensed Statue,"175,869.07"
released,contact for current prices,Prime 1 Studio,Transformers,Optimus Prime,Licensed Statue,70-90cm,none scale,Other, ,Licensed Statue,"175,869.07"
released,contact for current prices,Prime 1 Studio,Transformers,Decepticon Barricade,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"167,534.04"
pre-order,orderable,12 Talisman Studio,Jackie Chan Adventures,Shendu,GK Statue,36-50cm,other scale,Other, ,GK Statue,"47,972.71"
released,contact for current prices,Prime 1 Studio,Transformers,Shockwave,Licensed Statue,over 90cm,none scale,Other, ,Licensed Statue,"394,987.66"
pre-order,orderable,Whale Studio,2.5 Dimensional Seduction,Mikari Tachibana,GK Statue,16-25cm,1/6,18+ Female,09/2025 ,GK Statue,"31,487.88"
pre-order,orderable,reset studio,One Piece,Donquixote Doflamingo,GK Statue,36-50cm,1/7-1/9(pop-like),Other, ,GK Statue,"21,022.79"
pre-order,orderable,yz studio,Bleach,Sōya Azashiro,GK Statue,under 10cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,278.85"
released,contact for current prices,Prime 1 Studio,Transformers,Autobot Ratchet,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"111,041.08"
pre-order,orderable,yz studio,One Piece,Ahiru,GK Statue,under 10cm,wcf-like & sd-like,Other, ,GK Statue,"5,278.85"
released,contact for current prices,Prime 1 Studio,Transformers,Jazz,Licensed Statue,36-50cm,none scale,Other, ,Licensed Statue,"106,503.12"
released,contact for current prices,Prime 1 Studio,Transformers,Ironhide,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"152,530.99"
pre-order,orderable,Mythology Studio,Violet Evergarden,Violet Evergarden,GK Statue,26-35cm,1/6,Other, ,GK Statue,"25,468.14"
pre-order,orderable,power studio,Dragon Ball,Trunks,GK Statue,under 10cm,wcf-like & sd-like,Other,03/2025 ,GK Statue,"5,278.85"
pre-order close,contact for current prices,Wonder Studio,Pokémon,Poliwrath,GK Statue,under 10cm,1/20,Other,03/2025 ,GK Statue,"7,686.75"
pre-order close,contact for current prices,PLEIADES Studio,Original,Agano,GK Statue,16-25cm,1/7-1/9(pop-like),18+ Female, ,GK Statue,"21,948.90"
pre-order,orderable,Jinshan Studio,One Piece,Nico Robin,GK Statue,unknown,1/7-1/9(pop-like),Other,06/2025 ,GK Statue,"14,725.21"
released,contact for current prices,Prime 1 Studio,Transformers,Steeljaw,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"148,085.64"
early bird,orderable,Wake Me Up Studio,Slow Damage,Towa,GK Statue,unknown,1/6,18+ Male, ,GK Statue,"27,690.81"
pre-order,orderable,Real Creation Studio,Jujutsu Kaisen,Suguru Geto,GK Statue,16-25cm,other scale,Other,03/2025 ,GK Statue,"10,835.53"
pre-order,orderable,Sixth Magnitude Star Studio,Zenless Zone Zero,Ellen Joe,GK Statue,10-15cm,1/6,18+ Female, ,GK Statue,"11,946.87"
released,contact for current prices,Prime 1 Studio,Transformers,Galvatron,Licensed Statue,70-90cm,none scale,Other, ,Licensed Statue,"175,869.07"
pre-order,orderable,Rain Studio,One Piece,Dracule Mihawk,GK Statue,26-35cm,1/7-1/9(pop-like),Other, ,GK Statue,"33,525.33"
pre-order,orderable,K9 Studio,Zenless Zone Zero,Ellen Joe,GK Statue,10-15cm,1/6,18+ Female, ,GK Statue,"17,225.72"
pre-order,orderable,six pence studio,Wuthering Waves,Changli,GK Statue,16-25cm,1/6,18+ Female,06/2025 ,GK Statue,"17,318.33"
pre-order,orderable,RO Studio,Genshin Impact,Ningguang,GK Statue,51-69cm,1/4,18+ Female,12/2024 ,GK Statue,"81,498.04"
pre-order,orderable,Beast Studio,Chobits,Chi,GK Statue,26-35cm,1/6,18+ Female,09/2025 ,GK Statue,"25,190.30"
released,contact for current prices,Prime 1 Studio,Transformers,Optimus Prime,Licensed Statue,70-90cm,none scale,Other, ,Licensed Statue,"185,130.21"
pre-order close,contact for current prices,md studio,Pokémon,Pidgeot,GK Statue,26-35cm,other scale,Other, ,GK Statue,"14,262.16"
released,contact for current prices,Prime 1 Studio,Transformers,Optimus Prime,Licensed Statue,70-90cm,none scale,Other, ,Licensed Statue,"209,764.84"
pre-order close,contact for current prices,black studio,Jujutsu Kaisen,Satoru Gojo,GK Statue,16-25cm,other scale,Other, ,GK Statue,"12,687.76"
pre-order close,contact for current prices,VP studio,Pokémon,Blue Oak,GK Statue,10-15cm,1/20,Other, ,GK Statue,"8,983.31"
pre-order,orderable,Thistles and thorns Studio,Gundam Series,Lacus Clyne,GK Statue,26-35cm,1/6,18+ Female,09/2025 ,GK Statue,"32,136.16"
released,contact for current prices,Prime 1 Studio,Transformers,Drift,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"238,381.77"
pre-order,orderable,BFF Studio,Naruto,Shukaku,GK Statue,16-25cm,other scale,Other, ,GK Statue,"15,743.94"
released,contact for current prices,Prime 1 Studio,Transformers,Grimlock,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"277,741.62"
pre-order close,contact for current prices,Infinite Studio,Dragon Ball,Son Goku / Kakarotto,GK Statue,over 90cm,1/6,Other, ,GK Statue,"57,789.52"
pre-order,orderable,InfinityBoyfriend Studio,Original,Grang,GK Statue,16-25cm,other scale,18+ Male,12/2024 ,GK Statue,"21,022.79"
released,contact for current prices,Prime 1 Studio,Transformers,Bumblebee,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"156,698.51"
pre-order,orderable,FH Studio,Neon Genesis Evangelion,Soryu Asuka Langley,GK Statue,51-69cm,1/3,18+ Female,12/2024 ,GK Statue,"36,951.95"
pre-order,orderable,TP Studio,Pokémon,Togekiss,GK Statue,unknown,other scale,Other, ,GK Statue,"6,019.74"
pre-order close,contact for current prices,JC Studio,Pokémon,Jigglypuff,GK Statue,10-15cm,other scale,Other, ,GK Statue,"15,558.72"
released,contact for current prices,Prime 1 Studio,Transformers,Starscream,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"162,069.97"
released,contact for current prices,Prime 1 Studio,Transformers,Optimus Prime,Licensed Statue,70-90cm,none scale,Other, ,Licensed Statue,"221,989.55"
early bird,orderable,Ming Long Studio,Naruto,Uzumaki Naruto,GK Statue,unknown,1/6,Other, ,GK Statue,"36,951.95"
released,contact for current prices,Prime 1 Studio,Transformers,Megatron,Licensed Statue,70-90cm,none scale,Other, ,Licensed Statue,"197,447.53"
pre-order,orderable,Shibadon Studio,Zenless Zone Zero,Von Lycaon,GK Statue,26-35cm,other scale,18+ Male, ,GK Statue,"25,190.30"
released,contact for current prices,Prime 1 Studio,Batman Series,Bane,Licensed Statue,70-90cm,1/3,Other, ,Licensed Statue,"183,833.65"
pre-order,orderable,Blue Snail Studio,MapleStory,Toy City,GK Statue,10-15cm,other scale,Other, ,GK Statue,"17,040.50"
pre-order,orderable,ABsinthe Studio,Azur Lane,Cheshire,GK Statue,26-35cm,1/6,18+ Female,09/2025 ,GK Statue,"27,690.81"
released,contact for current prices,Prime 1 Studio,Batman Series,The Batman,Licensed Statue,70-90cm,1/3,Other, ,Licensed Statue,"125,303.24"
pre-order,orderable,Candy House Studio,World of Warcraft,Sylvanas Windrunner,GK Statue,36-50cm,1/3,Bust,03/2025 ,GK Statue,"36,859.34"
pre-order,orderable,MAX Studio,Naruto,Uzumaki Naruto,GK Statue,36-50cm,1/6,Other, ,GK Statue,"21,022.79"
released,contact for current prices,Prime 1 Studio,Batman Series,Catwoman,Licensed Statue,70-90cm,1/3,Other, ,Licensed Statue,"118,542.60"
pre-order,orderable,Wonderland Studio,Pokémon,Charizard,GK Statue,16-25cm,1/20,Other,12/2024 ,GK Statue,"17,503.56"
pre-order close,contact for current prices,Shi Guang Studio,MapleStory,Snack Bar,GK Statue,16-25cm,other scale,Other, ,GK Statue,"17,040.50"
released,contact for current prices,Prime 1 Studio,Batman Series,The Joker,Licensed Statue,70-90cm,1/3,Other, ,Licensed Statue,"138,824.50"
pre-order,orderable,a+ studio,One Piece,Ginny,GK Statue,under 10cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,278.85"
pre-order,orderable,yz studio,Bleach,Kuchiki Rukia,GK Statue,under 10cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,464.07"
released,contact for current prices,Prime 1 Studio,Batman Series,The Batman,Licensed Statue,70-90cm,1/3,Other, ,Licensed Statue,"148,085.64"
pre-order,orderable,c studio,One Piece,Caesar Clown,GK Statue,10-15cm,other scale,Other,12/2024 ,GK Statue,"6,760.63"
released,contact for current prices,Prime 1 Studio,Batman Series,The Batman,Licensed Statue,70-90cm,1/3,Other, ,Licensed Statue,"138,824.50"
pre-order,orderable,black studio,One Piece,Kuja Pirates,GK Statue,36-50cm,other scale,Other, ,GK Statue,"23,986.36"
pre-order,orderable,cheng studio,Bleach,Kurosaki ichigo,GK Statue,36-50cm,1/6,Other,12/2024 ,GK Statue,"27,412.98"
pre-order,orderable,TouFou Figure Studio,Uma Musume Pretty Derby,Daiwa Scarlet,GK Statue,unknown,other scale,18+ Female,06/2025 ,GK Statue,"23,523.30"
pre-order,orderable,WAWA Studio,Spy x Family,Anya Forger,GK Statue,unknown,other scale,Other,03/2025 ,GK Statue,"9,168.53"
released,contact for current prices,Prime 1 Studio,SHAZAM,Shazam,Licensed Statue,70-90cm,1/3,Other, ,Licensed Statue,"101,779.94"
pre-order,orderable,CX studio,Yu-Gi-Oh,Yugi Muto(Atem),GK Statue,26-35cm,other scale,Other, ,GK Statue,"14,354.77"
released,contact for current prices,Prime 1 Studio,Suicide Squad,Batman,Licensed Statue,70-90cm,1/3,Other, ,Licensed Statue,"149,845.26"
released,contact for current prices,Prime 1 Studio,Suicide Squad,The Joker,Licensed Statue,70-90cm,1/3,Other, ,Licensed Statue,"89,740.46"
released,contact for current prices,Prime 1 Studio,Suicide Squad,Deadshot,Licensed Statue,70-90cm,1/3,Other, ,Licensed Statue,"89,740.46"
released,contact for current prices,Prime 1 Studio,Suicide Squad,Harley Quinn,Licensed Statue,70-90cm,1/3,Other, ,Licensed Statue,"111,689.36"
released,contact for current prices,Prime 1 Studio,Red Sonja,Red Sonja,Licensed Statue,70-90cm,1/3,Other, ,Licensed Statue,"136,046.16"
released,contact for current prices,Prime 1 Studio,Predator,City Hunter Predator,Licensed Statue,over 90cm,1/3,Other, ,Licensed Statue,"572,060.68"
pre-order close,contact for current prices,Shi Guang Studio,MapleStory,Newbie,GK Statue,unknown,other scale,Other, ,GK Statue,"38,248.51"
released,contact for current prices,Tunshi Studio,Samurai Shodown,Ukyo Tachibana,PVC Figure,unknown,1/6,Other, ,PVC Figure,"21,208.01"
released,contact for current prices,Prime 1 Studio,Predator,Jungle Hunter Predator,Licensed Statue,70-90cm,1/3,Other, ,Licensed Statue,"277,741.62"
pre-order,orderable,power studio,Dragon Ball,Son Gohan,GK Statue,under 10cm,wcf-like & sd-like,Other,03/2025 ,GK Statue,"5,834.52"
pre-order,orderable,Soar Studio,Digimon,Angewomon,GK Statue,26-35cm,other scale,Other,12/2024 ,GK Statue,"16,947.89"
pre-order,orderable,league studio,Dragon Ball,Son Gohan,GK Statue,unknown,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,464.07"
