Product Phase,Product State,Brand,From,Character,Type,Height Range,Scale,Feature,Est Released Time,Type,Price
pre-order,orderable,Ymg Studio,MapleStory,NPC,GK Statue,10-15cm,other scale,Other,12/2024 ,GK Statue,"5,556.68"
released,contact for current prices,Prime 1 Studio,Tekken,Yoshimitsu,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"85,109.89"
pre-order,orderable,yz studio,One Piece,Saint Figarland Garling,GK Statue,10-15cm,wcf-like & sd-like,Other, ,GK Statue,"5,371.46"
released,contact for current prices,Prime 1 Studio,Tekken,Alisa Bosconovitch,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"55,474.23"
pre-order,orderable,yz studio,,,GK Statue,16-25cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"8,149.80"
pre-order,orderable,Initial Aspiration Studio,One Piece,Gekko Moriah,GK Statue,70-90cm,other scale,Other,09/2025 ,GK Statue,"87,610.39"
released,contact for current prices,Prime 1 Studio,Transformers,Megatron,Licensed Statue,70-90cm,none scale,Other, ,Licensed Statue,"276,445.06"
early bird,orderable,Violent Bear Studio,Dragon Ball,Son Gohan,GK Statue,over 90cm,1/6,Other, ,GK Statue,"32,321.38"
released,contact for current prices,Prime 1 Studio,Transformers,Megatron,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"255,792.71"
early bird,orderable,yomi studio,Marvel,Black Widow,GK Statue,36-50cm,1/6,Other, ,GK Statue,"46,213.09"
pre-order,orderable,WeArtDoing Studio,Original,Poseidon's,GK Statue,unknown,other scale,Other,09/2025 ,GK Statue,"20,281.90"
released,contact for current prices,Prime 1 Studio,Transformers,Optimus Primal,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"92,518.80"
early bird,orderable,long hu studio,One Piece,Vinsmoke Reiju,GK Statue,unknown,1/7-1/9(pop-like),Other, ,GK Statue,"18,429.67"
pre-order,orderable,ZENKAI Studio,The Eminence in Shadows,Cid Kageno,GK Statue,36-50cm,1/6,Other, ,GK Statue,"38,711.57"
pre-order,orderable,Light Team Studio,Violet Evergarden,Violet Evergarden,GK Statue,26-35cm,1/6,Other,12/2024 ,GK Statue,"17,966.61"
early bird,orderable,Toei Animation,Digimon,Yamato Ishida,Licensed Statue,51-69cm,other scale,Other,12/2024 ,Licensed Statue,"73,163.01"
pre-order,orderable,UMI Studio,Neon Genesis Evangelion,Katsuragi Misato,GK Statue,36-50cm,1/4,18+ Female,06/2025 ,GK Statue,"36,951.95"
pre-order,orderable,A.T Studio,Neon Genesis Evangelion,Soryu Asuka Langley,GK Statue,10-15cm,other scale,Other,12/2024 ,GK Statue,"3,334.01"
pre-order,orderable,dmx studio,Digimon,Marin Angemon,GK Statue,10-15cm,other scale,Other,12/2024 ,GK Statue,"7,964.58"
pre-order,orderable,CPU Studio,One Piece,Issho / Fujitora,GK Statue,16-25cm,other scale,Other, ,GK Statue,"16,114.39"
pre-order,orderable,Old-timer's Joy Studio,Violet Evergarden,Violet Evergarden,GK Statue,26-35cm,other scale,18+ Female,03/2025 ,GK Statue,"27,690.81"
pre-order,orderable,Fish Head Studio,Zenless Zone Zero,Nicole Demara,GK Statue,16-25cm,1/6,18+ Female,09/2025 ,GK Statue,"22,134.13"
early bird,orderable,Kylin Studio,Dragon Ball,Vegeta,GK Statue,unknown,1/6,Other, ,GK Statue,"17,966.61"
pre-order,orderable,hun yu studio,Hell Girl,Ai Enma,PVC Figure,36-50cm,1/7-1/9(pop-like),Other,09/2025 ,PVC Figure,"35,284.95"
early bird,orderable,whiteness Studio,Honkai: Star Rail,jingliu,GK Statue,36-50cm,1/6,18+ Female, ,GK Statue,"27,690.81"
pre-order,orderable,SURE FIRE Studio,Pokémon,Charizard,GK Statue,36-50cm,other scale,Other,03/2025 ,GK Statue,"38,248.51"
pre-order,orderable,Real Creation Studio,Jujutsu Kaisen,Choso Kamo,GK Statue,10-15cm,other scale,Other,03/2025 ,GK Statue,"7,223.69"
pre-order,orderable,Wang Wang Studio,Pokémon,Raikou,GK Statue,unknown,1/20,Other, ,GK Statue,"6,668.02"
released,contact for current prices,Prime 1 Studio,Transformers,Ultra Magnus,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"92,518.80"
pre-order,orderable,sakura studio,Spy x Family,Anya Forger,GK Statue,16-25cm,other scale,Skin change / Cosplay,12/2024 ,GK Statue,"7,964.58"
pre-order,orderable,yz studio,One Piece,Monkey D. Luffy,GK Statue,10-15cm,other scale,Other,12/2024 ,GK Statue,"5,556.68"
pre-order,orderable,Poker Studio,My Neighbor Totoro,Totoro,GK Statue,under 10cm,other scale,Other, ,GK Statue,"6,297.58"
pre-order,orderable,Shan Jian Xing Studio,Honkai: Star Rail,Feixiao,GK Statue,36-50cm,1/6,18+ Female,12/2024 ,GK Statue,"42,045.58"
pre-order,orderable,a+ studio,One Piece,Whitebeard Pirates,GK Statue,under 10cm,wcf-like & sd-like,Other,06/2025 ,GK Statue,"5,556.68"
released,in stock,Dorobou Neko Studio,Dragon Ball,Videl,3D Decorative Paint,36-50cm,other scale,18+ Female,09/2024 ,3D Decorative Paint,"6,297.58"
pre-order,orderable,LEFT & RIGHT Studio,One Piece,Vinsmoke Sanji,GK Statue,16-25cm,other scale,Other, ,GK Statue,"22,226.74"
pre-order,orderable,Ghost Studio,One Piece,Monkey D. Luffy,GK Statue,26-35cm,other scale,Other, ,GK Statue,"17,781.39"
released,contact for current prices,Prime 1 Studio,Transformers,Nemesis Prime,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"134,101.32"
pre-order,orderable,Buri Studio,Crayon Shin-chan,Shinnosuke Nohara,GK Statue,under 10cm,other scale,Other, ,GK Statue,"7,408.91"
pre-order,orderable,T-ONE studio,My Neighbor Totoro,Mei,GK Statue,26-35cm,other scale,Other,06/2025 ,GK Statue,"22,226.74"
early bird,orderable,Iron Curtain Studio,overwatch,Genji,GK Statue,unknown,other scale,Other, ,GK Statue,"92,518.80"
pre-order,orderable,NIUZI Studio,Jujutsu Kaisen,Jogo,GK Statue,under 10cm,other scale,Other,12/2024 ,GK Statue,"1,667.01"
pre-order,orderable,ZaoWu Museum Studio,Pokémon,Aipom,GK Statue,unknown,other scale,Other, ,GK Statue,"7,223.69"
pre-order,orderable,5G Studio,One Piece,Monkey D. Luffy,GK Statue,10-15cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"6,853.24"
released,contact for current prices,HIKARI Studio,Slam Dunk,Akagi Takenori,GK Statue,16-25cm,other scale,Other, ,GK Statue,"61,864.42"
pre-order,orderable,ZI YE Studio,NieR:Automata,2B,GK Statue,36-50cm,1/4,18+ Female,12/2025 ,GK Statue,"25,560.75"
released,contact for current prices,Prime 1 Studio,Transformers,Megatron,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"110,578.02"
pre-order,orderable,Light Team Studio,A Certain Magical Index,Mikoto Misaka,GK Statue,36-50cm,1/7-1/9(pop-like),Other,12/2024 ,GK Statue,"22,226.74"
pre-order,orderable,Thundebot Studio,One Piece,Brook,GK Statue,16-25cm,other scale,Other,12/2024 ,GK Statue,"19,726.23"
released,contact for current prices,Dragon Stone Studio,Original,Lulum,GK Statue,16-25cm,other scale,18+ Female, ,GK Statue,"34,173.61"
released,contact for current prices,Prime 1 Studio,Transformers,Optimus Prime,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"92,611.41"
pre-order,orderable,ACG Studio,Honkai Impact,Bronya Zaychik,GK Statue,unknown,1/6,18+ Female,12/2024 ,GK Statue,"22,226.74"
pre-order,orderable,verve studio,Pokémon,Charmander,GK Statue,under 10cm,1/20,Other, ,GK Statue,"3,704.46"
pre-order,orderable,Wolf Studio,One Piece,Boa Hancock,GK Statue,16-25cm,other scale,Other,12/2024 ,GK Statue,"8,705.47"
released,contact for current prices,Prime 1 Studio,Street Fighter,Chun-Li,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"103,724.78"
pre-order,orderable,Mine Studio,Pokémon,Raikou,GK Statue,10-15cm,1/20,Other, ,GK Statue,"15,929.16"
pre-order,orderable,c studio,Dragon Ball,Son Gohan,GK Statue,under 10cm,other scale,Other,06/2025 ,GK Statue,"5,556.68"
released,contact for current prices,Prime 1 Studio,Street Fighter,Ryu,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"128,544.64"
